Project Id,Region,Country,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,IBRD Commitment $US,IDA Commitment $US,Grant Amount $US,Borrower,Last Update Date,Secteur
P180579,Western and Central Africa,Republic of Benin,Grand Nokoué Sustainable Urban Mobility Project (GN-SUMP),"The PDO is to improve urban mobility, safety, and accessibility along selected corridors in Grand-Nokoue.",Société des Infrastructures Routières et de l’Aménagement du Territoire (SIRAT) [Road Infrastructure and Land Management Company],TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P180579,"June 22, 2023",2025-05-20,"December 18, 2025","December 31, 2030",Board Approved,IDA,0.0,200000000.0,200000000.0,Republic of Benin,"July 12, 2023",Route
P508182,Western and Central Africa,Republic of Benin,Gazetted Forests Management Project 2,,Ministry of Environment and Transport,No,https://projects.worldbank.org/en/projects-operations/project-detail/P508182,"December 19, 2024",2025-04-30,"September 9, 2025","July 31, 2032",Board Approved,IDA,0.0,80700000.0,0.0,Republic of Benin,"March 26, 2025",Environnement
P181259,Western and Central Africa,Republic of Benin,Benin Land Tenure Management Program,The proposed Project Development Objective is to strengthen the Recipient’s capacity for the implementation of its cadastre at a national level; and to increase the number of land rights registered in selected areas.,Agence Nationale du Domaine et du Foncier,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P181259,"December 11, 2024",2025-04-30,"December 19, 2025","September 30, 2030",Board Approved,IDA,0.0,100000000.0,0.0,Republic of Benin,"July 27, 2023",Infrastructure
P181746,Western and Central Africa,Republic of Benin,Benin Boosting Inclusive Growth and Resilience DPF2 FY25 Guarantee,"The Project Development Objective is to support the government’s efforts to: (i) enhance private sector-led growth, (ii) boost domestic revenue collection, and (iii) strengthen social and climate resilience.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P181746,"October 31, 2024",2024-10-31,,"December 31, 2027",Board Approved,IDA,0.0,150000000.0,0.0,,"January 5, 2025",Réformes Macro-économiques
P181457,Western and Central Africa,Republic of Benin,Benin Second Boosting Inclusive Growth and Resilience DPF and PBG,"The Project Development Objective is to support the recipient's efforts to: (i) enhance private sector-led growth, (ii) boost domestic revenue collection, and (iii) strengthen social and climate resilience.",Ministry of Economy and Finance,,https://projects.worldbank.org/en/projects-operations/project-detail/P181457,"January 31, 2024",2024-10-31,"November 26, 2024","December 31, 2025",Board Approved,IDA,0.0,150000000.0,0.0,REPUBLIC OF BENIN,"January 24, 2024",Réformes Macro-économiques
P180505,Western and Central Africa,Republic of Benin,Additional Financing for Benin Agricultural Competitiveness and Export Diversification Project,The project development objective (PDO) is to increase productivity and market access for selected agri-food value chains in Benin.,"Ministere de l'Agriculture, de l'Elevage et de la Peche",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P180505,"May 15, 2024",2024-06-11,,"April 30, 2030",Board Approved,IDA,0.0,150000000.0,0.0,Government of Benin,"November 14, 2024",Agriculture
P180286,Western and Central Africa,Republic of Benin,Benin Boosting Inclusive Growth and Resilience DPF1 series with Cat DDO,"The Project Development Objective is to support the government’s efforts to: (i) enhance private sector-led growth, (ii) boost domestic revenue collection, and (iii) strengthen social and climate resilience.",Ministry of Economy and Finance,,https://projects.worldbank.org/en/projects-operations/project-detail/P180286,"May 12, 2023",2023-09-15,"October 2, 2023","December 31, 2027",Board Approved,IDA,0.0,230000000.0,0.0,Republic of Benin,"February 13, 2024",Réformes Macro-économiques
P176763,Western and Central Africa,Republic of Benin,Benin Economic Governance for Service Delivery Program for Results,The Program Development Objective is to increase the efficiency of domestic resource mobilization and public expenditure.,Ministry of Economy and Finance,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P176763,"March 22, 2023",2023-06-15,"November 3, 2023","June 30, 2029",Board Approved,IDA,0.0,300000000.0,0.0,Republic of Benin,"September 6, 2023",Efficacité administrative
P178838,Western and Central Africa,Republic of Benin,Additional Financing for the Gazetted Forests Management Project,"To improve the integrated management of targeted Gazetted Forests, to increase access of the main consumption cities to fuelwood produced sustainably, and to strengthen selected non-timber forest product value chains for forest-dependent communities",Ministry of Environment and Sustainable Development,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P178838,"January 27, 2023",2023-03-24,,"November 30, 2026",Board Approved,IDA,0.0,30000000.0,0.0,Ministry of Economy of the Republic of Benin,"June 4, 2024",Environnement
P176680,Western and Central Africa,Republic of Benin,Benin Social Safety Nets Program,The Program Development Objectives (PDO) are to improve the efficiency and adaptivity of the social protection system and to increase the coverage of vulnerable households in the productive social safety net,Ministry of Social Affairs and Microfinance,,https://projects.worldbank.org/en/projects-operations/project-detail/P176680,"April 5, 2022",2023-03-24,"September 28, 2023","December 31, 2027",Board Approved,IDA,0.0,100000000.0,0.0,REPUBLIC OF BENIN,"April 16, 2024",Développement Social
P176653,Western and Central Africa,Republic of Benin,Building Resilient and Inclusive Cities Program,The PDOs are to improve (i) access to climate resilient urban services and (ii) urban service delivery arrangements in the selected municipalities.,Ministry of Living Environment and Transport (MCVT),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P176653,"December 2, 2021",2022-09-29,"March 13, 2023","June 30, 2028",Board Approved,IDA,0.0,200000000.0,0.0,Government of Benin,"June 27, 2024",Infrastructure
P178042,Western and Central Africa,Republic of Benin,Benin Second Unlocking Human and Productive Potential DPF series,The proposed DPO series aims to: (1) empower women and girls; (2) expand access to reliable and sustainable energy; (3) strengthen fiscal and debt management.,Ministry of Economy and Finance,,https://projects.worldbank.org/en/projects-operations/project-detail/P178042,"May 18, 2022",2022-09-21,"September 26, 2022","September 30, 2023",Board Approved,IDA,0.0,150000000.0,0.0,Republic of Benin,"March 6, 2024",Développement Social
P176941,Western and Central Africa,Republic of Benin,Benin Rural Water Supply Universal Access Program Additional Financing,The PDO is to increase access to water supply service and to strengthen service delivery arrangements in selected rural areas.,Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural (ANAEPMR),,https://projects.worldbank.org/en/projects-operations/project-detail/P176941,"December 2, 2021",2022-06-30,,"June 30, 2027",Board Approved,IDA,0.0,250000000.0,0.0,Ministry of Economy and Finance,"May 6, 2024",Eau
P172940,Western and Central Africa,Republic of Benin,Benin Health System Enhancement Program (P172940),"To improve the quality of and access to primary health care services with a focus on reproductive, maternal, neonatal, child, adolescent health and nutrition (RMNCAH+N) and strengthen public health emergency preparedness and response capacity",Ministry of Health,No,https://projects.worldbank.org/en/projects-operations/project-detail/P172940,"December 23, 2020",2022-04-27,"July 27, 2022","June 30, 2027",Board Approved,IDA,0.0,187000000.0,0.0,Republic of Benin,"June 12, 2024",Santé
P178245,Western and Central Africa,Republic of Benin,Benin COVID-19 Emergency Preparedness and Response Project Third Additional Financing,"To prevent, detect and respond to COVID-19 and strengthen national systems for public health emergency preparedness in Benin.","National Council to Combat HIV/AIDS, Tuberculosis, Malaria and Epidemics",No,https://projects.worldbank.org/en/projects-operations/project-detail/P178245,"March 28, 2022",2022-04-21,,"June 30, 2023",RVP Approved,IDA,0.0,10700000.0,0.0,Republic of Benin,"November 8, 2022",Santé
