WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2021-07-24,Western Africa,Benin,Alibori,Battles,Armed clash,1,5,11334.0,Political violence,326.0,11.4661,2.7958
2021-11-27,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,7811.0,Political violence,326.0,11.4661,2.7958
2022-01-22,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,18988.0,Political violence,326.0,11.4661,2.7958
2022-02-05,Western Africa,Benin,Alibori,Battles,Armed clash,1,8,100.0,Political violence,326.0,11.4661,2.7958
2022-04-16,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,43708.0,Political violence,326.0,11.4661,2.7958
2022-04-23,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,2273.0,Political violence,326.0,11.4661,2.7958
2022-06-25,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,5674.0,Political violence,326.0,11.4661,2.7958
2022-07-02,Western Africa,Benin,Alibori,Battles,Armed clash,3,6,9983.0,Political violence,326.0,11.4661,2.7958
2022-07-16,Western Africa,Benin,Alibori,Battles,Armed clash,2,6,8337.0,Political violence,326.0,11.4661,2.7958
2022-07-23,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,31.0,Political violence,326.0,11.4661,2.7958
2022-09-10,Western Africa,Benin,Alibori,Battles,Armed clash,1,2,3010.0,Political violence,326.0,11.4661,2.7958
2022-10-15,Western Africa,Benin,Alibori,Battles,Armed clash,2,0,4549.0,Political violence,326.0,11.4661,2.7958
2022-10-22,Western Africa,Benin,Alibori,Battles,Armed clash,4,0,89510.0,Political violence,326.0,11.4661,2.7958
2022-10-29,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,18988.0,Political violence,326.0,11.4661,2.7958
2022-11-05,Western Africa,Benin,Alibori,Battles,Armed clash,2,0,9127.0,Political violence,326.0,11.4661,2.7958
2022-11-26,Western Africa,Benin,Alibori,Battles,Armed clash,2,4,2967.0,Political violence,326.0,11.4661,2.7958
2022-12-10,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,5918.0,Political violence,326.0,11.4661,2.7958
2022-12-31,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,39827.0,Political violence,326.0,11.4661,2.7958
2023-02-04,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,2678.0,Political violence,326.0,11.4661,2.7958
2023-02-18,Western Africa,Benin,Alibori,Battles,Armed clash,2,1,47193.0,Political violence,326.0,11.4661,2.7958
2023-03-25,Western Africa,Benin,Alibori,Battles,Armed clash,2,8,6275.0,Political violence,326.0,11.4661,2.7958
2023-04-08,Western Africa,Benin,Alibori,Battles,Armed clash,2,3,3828.0,Political violence,326.0,11.4661,2.7958
2023-04-15,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,2057.0,Political violence,326.0,11.4661,2.7958
2023-05-27,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,7366.0,Political violence,326.0,11.4661,2.7958
2023-06-03,Western Africa,Benin,Alibori,Battles,Armed clash,1,2,56659.0,Political violence,326.0,11.4661,2.7958
2023-06-17,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,2678.0,Political violence,326.0,11.4661,2.7958
2023-08-19,Western Africa,Benin,Alibori,Battles,Armed clash,2,6,8741.0,Political violence,326.0,11.4661,2.7958
2023-08-26,Western Africa,Benin,Alibori,Battles,Armed clash,2,3,5835.0,Political violence,326.0,11.4661,2.7958
2023-09-02,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,6512.0,Political violence,326.0,11.4661,2.7958
2023-10-14,Western Africa,Benin,Alibori,Battles,Armed clash,3,2,8600.0,Political violence,326.0,11.4661,2.7958
2023-10-21,Western Africa,Benin,Alibori,Battles,Armed clash,2,2,7366.0,Political violence,326.0,11.4661,2.7958
