url,title,seendate,language,domain,sourcecountry,date,month,month_label,meta_description,nlp_text,text_source,nlp_label,Negative,Neutral,Positive,score_label
https://www.financialafrik.com/2025/04/01/la-boad-valide-des-financements-pour-15-projets-dans-les-etats-de-luemoa/,‎La BOAD valide des financements pour 15 projets dans les États de lUemoa,20250401T214500Z,French,financialafrik.com,Morocco,2025-04-01,2025-04,Apr 2025,"‎La Banque Ouest Africaine de Développement (BOAD) a approuvé 15 nouveaux financements pour un montant total de 391 923 milliards de francs CFA en faveur de ses pays membres. Ces fonds sont destinés à la réalisation d’infrastructures et au soutien économique de plusieurs États. La décision a été entérinée lors du conseil d’administration de l’institution,","‎La BOAD valide des financements pour 15 projets dans les États de lUemoa. ‎La Banque Ouest Africaine de Développement (BOAD) a approuvé 15 nouveaux financements pour un montant total de 391 923 milliards de francs CFA en faveur de ses pays membres. Ces fonds sont destinés à la réalisation d’infrastructures et au soutien économique de plusieurs États. La décision a été entérinée lors du conseil d’administration de l’institution,",titre+description,Positive,0,0,1,0.7718
https://www.fao.org/home/home/benin-s-farmers-get-a-business-boost-with-innovation/fr,"Au Bénin , linnovation est un moteur du développement de lactivité des agriculteurs",20250401T211500Z,French,fao.org,Italy,2025-04-01,2025-04,Apr 2025,L’Organisation pour l’alimentation et l’agriculture (FAO) est l’agence spécialisée des Nations Unies qui mène les efforts internationaux vers l’élimination de la faim.,"Au Bénin , linnovation est un moteur du développement de lactivité des agriculteurs. L’Organisation pour l’alimentation et l’agriculture (FAO) est l’agence spécialisée des Nations Unies qui mène les efforts internationaux vers l’élimination de la faim.",titre+description,Positive,0,0,1,0.786
https://www.maliweb.net/economie/cooperation/le-tchad-et-lalliance-des-etats-du-sahel-aes-comme-la-base-pour-la-prosperite-de-la-region-du-sahel-3101364.html,maliweb . net - Le Tchad et lAlliance des États du Sahel ( AES ) comme la base pour la prospérité de la région du Sahel,20250401T184500Z,French,maliweb.net,Mali,2025-04-01,2025-04,Apr 2025,,maliweb . net - Le Tchad et lAlliance des États du Sahel ( AES ) comme la base pour la prospérité de la région du Sahel,titre seul,Positive,0,0,1,0.6063
https://www.investegate.co.uk/company/PREM,Premier African Minerals Ltd RNS Announcements | PREM RNS Announcements,20250401T174500Z,English,investegate.co.uk,United Kingdom,2025-04-01,2025-04,Apr 2025,"Explore Premier African Minerals Ltd Company Regulatory News (RNS) and non regulatory news updates for the latest insights on their financial performance, stock market status, and corporate governance. Stay informed about Premier African Minerals Ltd share price and industry developments. If you're an investor tracking the latest RNS announcements for Premier African Minerals Ltd or just want to find out what has happened to Premier African Minerals Ltd share price as it happens.","Premier African Minerals Ltd RNS Announcements | PREM RNS Announcements. Explore Premier African Minerals Ltd Company Regulatory News (RNS) and non regulatory news updates for the latest insights on their financial performance, stock market status, and corporate governance. Stay informed about Premier African Minerals Ltd share price and industry developments. If you're an investor tracking the latest RNS announcements for Premier African Minerals Ltd or just want to find out what has happened to Premier Af",titre+description,Neutral,0,1,0,0.8205
https://lesoleil.sn/actualites/economie/la-boad-valide-15-projets-pour-3919-milliards-fcfa/,"La Boad valide 15 projets pour 391 , 9 milliards FCfa",20250401T171500Z,French,lesoleil.sn,Senegal,2025-04-01,2025-04,Apr 2025,"La Banque ouest-africaine de développement (Boad) a validé un ensemble de 15 projets pour un montant total de 391,923 milliards de francs Cfa, visant à renforcer les infrastructures et à soutenir les économies de plusieurs pays membres. Réunis fin mars à Dakar sous la présidence de Serge Ekué, les administrateurs de la Boad ont approuvé […]","La Boad valide 15 projets pour 391 , 9 milliards FCfa. La Banque ouest-africaine de développement (Boad) a validé un ensemble de 15 projets pour un montant total de 391,923 milliards de francs Cfa, visant à renforcer les infrastructures et à soutenir les économies de plusieurs pays membres. Réunis fin mars à Dakar sous la présidence de Serge Ekué, les administrateurs de la Boad ont approuvé […]",titre+description,Positive,0,0,1,0.7737
https://www.lanouvellerepublique.fr/vienne/commune/adriers/adriers-une-association-propose-un-repas-solidaire-pour-construire-un-puits-au-benin-1743516168,Adriers : une association propose un repas solidaire pour construire un puits au Bénin,20250401T144500Z,French,lanouvellerepublique.fr,France,2025-04-01,2025-04,Apr 2025,"Dimanche 6 avril 2025, l’association d’Adriers Amitié Bénin-Vienne limousine, présidée par Anne-Marie Riffaud, organise une action caritative et humanitair...","Adriers : une association propose un repas solidaire pour construire un puits au Bénin. Dimanche 6 avril 2025, l’association d’Adriers Amitié Bénin-Vienne limousine, présidée par Anne-Marie Riffaud, organise une action caritative et humanitair...",titre+description,Positive,0,0,1,0.8362
https://www.koaci.com/article/2025/04/01/congo/politique/congo-kemi-seba-brievement-arrete-a-brazzaville-une-conference-sur-le-cfa-en-cause_185658.html,"Congo : Kemi Seba brièvement arrêté à Brazzaville , une conférence sur le CFA en cause ? ",20250401T144500Z,French,koaci.com,Ivory Coast,2025-04-01,2025-04,Apr 2025,"Kemi Seba  L'activiste béninois Kemi Seba, proche de la Russie a été interpellé brièvement par les autorités congol... - KOACI l'Info au Coeur de l'Afrique","Congo : Kemi Seba brièvement arrêté à Brazzaville , une conférence sur le CFA en cause ?. Kemi Seba  L'activiste béninois Kemi Seba, proche de la Russie a été interpellé brièvement par les autorités congol... - KOACI l'Info au Coeur de l'Afrique",titre+description,Negative,1,0,0,0.8042
https://levenementprecis.com/?p=92306,"Adhésion en vue au parti du Cheval Cabré : Dr Louis - Marc SOGNON , un soutien de taille pour le BR",20250401T143000Z,French,levenementprecis.com,Benin,2025-04-01,2025-04,Apr 2025,,"Adhésion en vue au parti du Cheval Cabré : Dr Louis - Marc SOGNON , un soutien de taille pour le BR",titre seul,Positive,0,0,1,0.9212
https://theconversation.com/nigerias-illegal-gold-trade-elites-and-bandits-are-working-together-250169,Nigeria illegal gold trade – elites and bandits are working together,20250401T134500Z,English,theconversation.com,Australia,2025-04-01,2025-04,Apr 2025,"Elite competition for dominance over illegal mining locations leads to funding of armed bandits, and the use of violence against civilians in north-west Nigeria.","Nigeria illegal gold trade – elites and bandits are working together. Elite competition for dominance over illegal mining locations leads to funding of armed bandits, and the use of violence against civilians in north-west Nigeria.",titre+description,Negative,1,0,0,0.8342
https://saharareporters.com/2025/04/01/breaking-cross-dresser-bobrisky-arrested-nigerian-immigration-officials-demands-know,"BREAKING : Cross - Dresser Bobrisky Arrested By Nigerian Immigration Officials , Demands To Know Offence",20250401T120000Z,English,saharareporters.com,Nigeria,2025-04-01,2025-04,Apr 2025,,"BREAKING : Cross - Dresser Bobrisky Arrested By Nigerian Immigration Officials , Demands To Know Offence",titre seul,Negative,1,0,0,0.7301
