"World Bank Projects, data as of 05/28/2026 05:17:25 PM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Project Id","Region","Country","Project Status","Project Name","Project Development Objective","Implementing Agency","Consultant Services Required","Project URL","Disclosure Date","Board Approval Date","Effective Date","Project Closing Date","Last Stage Reached","Financing Type","Total Project Cost $US","IBRD Commitment $US","IDA Commitment $US","Total IBRD, IDA and GRANT Commitment $US","Grant Amount $US","Borrower","Lending Instrument","Environmental Assessment Category","Environmental and Social Risk","Sector 1","Sector 2","Sector 3","Last Update Date"
"P513979","Western and Central Africa","Republic of Benin","","Dogo-Bis Multipurpose Dam Project Phase 1","The Project Development Objective (PDO) of the Phase 1 is to: i) strengthen the Recipient's capacity and readiness to build the multifunction Dogo-Bis dam, and ii) improve access to socio-economic services and infrastructures for the community in the project area.  ","Presidence de la Republique - Bureau of Analysis and Investigation (BAI),","Yes","https://projects.worldbank.org/en/projects-operations/project-detail/P513979","December 18, 2025","June 16, 2026","","December 31, 2031","Begin Negotiation","IDA","","0","150000000.00","","0","Republic of Benin","","","High","","","",""
"P509225","Western and Central Africa","Republic of Benin","","ALAFIA I- Nourishing Benin's Future Program","To improve the utilization of quality integrated nutrition, health, and child development services in targeted areas. ","Agence Nationale de l’Alimentation et de la Nutrition (ANAN) ","No","https://projects.worldbank.org/en/projects-operations/project-detail/P509225","March 5, 2026","June 16, 2026","","May 31, 2031","Begin Negotiation","Grants","","0","150000000.00","","20000000","Republic of Benin","","","Low","","","","December 2, 2024"
"P510638","Western and Central Africa","Republic of Benin","","FIRST BENIN ACCELERATED ECONOMIC TRANSFORMATION AND JOBS","To (i) strengthen the regulatory environment for private sector participation, and (ii) invest in human capital."," Ministry of Economy and Finance,General Directory of taxes ","","https://projects.worldbank.org/en/projects-operations/project-detail/P510638","October 20, 2025","February 27, 2026","March 27, 2026","July 31, 2027","Board Approved","IDA","","0","200000000.00","","0","REPUBLIC OF BENIN","","","","","","","March 12, 2025"
"P500561","Western and Central Africa","Republic of Benin","","Women Entrepreneurship Development and Access to Finance Program","Promote access to finance and growth for women entrepreneurs in Benin","Agence de Développement des PMEs (ADPME),Caisse de Dépôts et des Consignation du Benin,Ministry of SME Promotion,SME Investment and Guarantee Fund (FIGPME): ","Yes","https://projects.worldbank.org/en/projects-operations/project-detail/P500561","January 27, 2025","January 15, 2026","","January 31, 2032","Board Approved","IDA","","0","100000000.00","","0","Republic of Benin","","","Moderate","","","","April 3, 2025"
"P511454","Western and Central Africa","Republic of Benin","","Benin Youth Inclusion Project","The objective of the Project is to increase economic inclusion of under-employed and under-educated youth aged 15-30 and strengthen employment services and the technical and vocational training system.","","No","https://projects.worldbank.org/en/projects-operations/project-detail/P511454","June 7, 2025","June 25, 2025","","","CD Approved","IDA","","0","41300000.00","","0","","","","","","","",""
"P180579","Western and Central Africa","Republic of Benin","","Grand Nokoué Sustainable Urban Mobility Project (GN-SUMP)","The PDO is to improve urban mobility, safety, and accessibility along selected corridors in Grand-Nokoue.","Société des Infrastructures Routières et de l’Aménagement du Territoire (SIRAT) [Road Infrastructure and Land Management Company]","TBD","https://projects.worldbank.org/en/projects-operations/project-detail/P180579","June 22, 2023","May 20, 2025","December 18, 2025","December 31, 2030","Board Approved","IDA","","0","200000000.00","","200000000","Republic of Benin","","","High","","","","July 12, 2023"
"P508182","Western and Central Africa","Republic of Benin","","Gazetted Forests Management Project 2","","Ministry of Environment and Transport","No","https://projects.worldbank.org/en/projects-operations/project-detail/P508182","December 19, 2024","April 30, 2025","September 9, 2025","July 31, 2032","Board Approved","IDA","","0","80700000.00","","0","Republic of Benin","","","Moderate","","","","March 26, 2025"
"P181259","Western and Central Africa","Republic of Benin","","Benin Land Tenure Management Program","The proposed Project Development Objective is to strengthen the Recipient’s capacity for the implementation of its cadastre at a national level; and to increase the number of land rights registered in selected areas.","Agence Nationale du Domaine et du Foncier","Yes","https://projects.worldbank.org/en/projects-operations/project-detail/P181259","December 11, 2024","April 30, 2025","December 19, 2025","September 30, 2030","Board Approved","IDA","","0","100000000.00","","0","Republic of Benin","","","","","","","July 27, 2023"
"P181746","Western and Central Africa","Republic of Benin","","Benin Boosting Inclusive Growth and Resilience DPF2 FY25 Guarantee","The Project Development Objective is to support the government’s efforts to: (i) enhance private sector-led growth, (ii) boost domestic revenue collection, and (iii) strengthen social and climate resilience.","","","https://projects.worldbank.org/en/projects-operations/project-detail/P181746","October 31, 2024","October 31, 2024","","December 31, 2027","Board Approved","IDA","","0","150000000.00","","0","","","","","","","","January 5, 2025"
"P181457","Western and Central Africa","Republic of Benin","","Benin Second Boosting Inclusive Growth and Resilience DPF and PBG","The Project Development Objective is to support the recipient's efforts to: (i) enhance private sector-led growth, (ii) boost domestic revenue collection, and (iii) strengthen social and climate resilience.","Ministry of Economy and Finance","","https://projects.worldbank.org/en/projects-operations/project-detail/P181457","January 31, 2024","October 31, 2024","November 26, 2024","December 31, 2025","Board Approved","IDA","","0","150000000.00","","0","REPUBLIC OF BENIN","","","","","","","January 24, 2024"
