WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2016-05-21,Western Africa,Benin,Alibori,Battles,Armed clash,1,3,47189.0,Political violence,326.0,11.4661,2.7958
2016-07-02,Western Africa,Benin,Alibori,Battles,Armed clash,1,7,1940.0,Political violence,326.0,11.4661,2.7958
2017-04-01,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,48637.0,Political violence,326.0,11.4661,2.7958
2020-02-08,Western Africa,Benin,Alibori,Battles,Armed clash,1,4,7630.0,Political violence,326.0,11.4661,2.7958
2020-05-30,Western Africa,Benin,Alibori,Battles,Armed clash,2,8,2899.0,Political violence,326.0,11.4661,2.7958
2020-06-06,Western Africa,Benin,Alibori,Battles,Armed clash,1,2,7930.0,Political violence,326.0,11.4661,2.7958
2020-07-04,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,2962.0,Political violence,326.0,11.4661,2.7958
2020-09-05,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,9266.0,Political violence,326.0,11.4661,2.7958
2021-01-23,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,2227.0,Political violence,326.0,11.4661,2.7958
2021-07-24,Western Africa,Benin,Alibori,Battles,Armed clash,1,5,11334.0,Political violence,326.0,11.4661,2.7958
2021-11-27,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,7811.0,Political violence,326.0,11.4661,2.7958
2022-01-22,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,18988.0,Political violence,326.0,11.4661,2.7958
2022-02-05,Western Africa,Benin,Alibori,Battles,Armed clash,1,8,100.0,Political violence,326.0,11.4661,2.7958
2022-04-16,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,43708.0,Political violence,326.0,11.4661,2.7958
2022-04-23,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,2273.0,Political violence,326.0,11.4661,2.7958
2022-06-25,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,5674.0,Political violence,326.0,11.4661,2.7958
2022-07-02,Western Africa,Benin,Alibori,Battles,Armed clash,3,6,9983.0,Political violence,326.0,11.4661,2.7958
2022-07-16,Western Africa,Benin,Alibori,Battles,Armed clash,2,6,8337.0,Political violence,326.0,11.4661,2.7958
2022-07-23,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,31.0,Political violence,326.0,11.4661,2.7958
2022-09-10,Western Africa,Benin,Alibori,Battles,Armed clash,1,2,3010.0,Political violence,326.0,11.4661,2.7958
2022-10-15,Western Africa,Benin,Alibori,Battles,Armed clash,2,0,4549.0,Political violence,326.0,11.4661,2.7958
2022-10-22,Western Africa,Benin,Alibori,Battles,Armed clash,4,0,89510.0,Political violence,326.0,11.4661,2.7958
2022-10-29,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,18988.0,Political violence,326.0,11.4661,2.7958
2022-11-05,Western Africa,Benin,Alibori,Battles,Armed clash,2,0,9127.0,Political violence,326.0,11.4661,2.7958
2022-11-26,Western Africa,Benin,Alibori,Battles,Armed clash,2,4,2967.0,Political violence,326.0,11.4661,2.7958
2022-12-10,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,5918.0,Political violence,326.0,11.4661,2.7958
2022-12-31,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,39827.0,Political violence,326.0,11.4661,2.7958
2023-02-04,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,2678.0,Political violence,326.0,11.4661,2.7958
2023-02-18,Western Africa,Benin,Alibori,Battles,Armed clash,2,1,47193.0,Political violence,326.0,11.4661,2.7958
2023-03-25,Western Africa,Benin,Alibori,Battles,Armed clash,2,8,6275.0,Political violence,326.0,11.4661,2.7958
2023-04-08,Western Africa,Benin,Alibori,Battles,Armed clash,2,3,3828.0,Political violence,326.0,11.4661,2.7958
2023-04-15,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,2057.0,Political violence,326.0,11.4661,2.7958
2023-05-27,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,7366.0,Political violence,326.0,11.4661,2.7958
2023-06-03,Western Africa,Benin,Alibori,Battles,Armed clash,1,2,56659.0,Political violence,326.0,11.4661,2.7958
2023-06-17,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,2678.0,Political violence,326.0,11.4661,2.7958
2023-08-19,Western Africa,Benin,Alibori,Battles,Armed clash,2,6,8741.0,Political violence,326.0,11.4661,2.7958
2023-08-26,Western Africa,Benin,Alibori,Battles,Armed clash,2,3,5835.0,Political violence,326.0,11.4661,2.7958
2023-09-02,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,6512.0,Political violence,326.0,11.4661,2.7958
2023-10-14,Western Africa,Benin,Alibori,Battles,Armed clash,3,2,8600.0,Political violence,326.0,11.4661,2.7958
2023-10-21,Western Africa,Benin,Alibori,Battles,Armed clash,2,2,7366.0,Political violence,326.0,11.4661,2.7958
2023-10-28,Western Africa,Benin,Alibori,Battles,Armed clash,3,1,67471.0,Political violence,326.0,11.4661,2.7958
2023-11-04,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,2220.0,Political violence,326.0,11.4661,2.7958
2023-11-11,Western Africa,Benin,Alibori,Battles,Armed clash,1,3,268.0,Political violence,326.0,11.4661,2.7958
2023-11-18,Western Africa,Benin,Alibori,Battles,Armed clash,3,5,6248.0,Political violence,326.0,11.4661,2.7958
2023-12-30,Western Africa,Benin,Alibori,Battles,Armed clash,6,17,47784.0,Political violence,326.0,11.4661,2.7958
2024-01-13,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,499.0,Political violence,326.0,11.4661,2.7958
2024-01-27,Western Africa,Benin,Alibori,Battles,Armed clash,2,13,637.0,Political violence,326.0,11.4661,2.7958
2024-02-17,Western Africa,Benin,Alibori,Battles,Armed clash,1,4,5141.0,Political violence,326.0,11.4661,2.7958
2024-03-16,Western Africa,Benin,Alibori,Battles,Armed clash,1,2,13275.0,Political violence,326.0,11.4661,2.7958
2024-03-23,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,2785.0,Political violence,326.0,11.4661,2.7958
2024-04-13,Western Africa,Benin,Alibori,Battles,Armed clash,3,5,16597.0,Political violence,326.0,11.4661,2.7958
2024-04-20,Western Africa,Benin,Alibori,Battles,Armed clash,1,2,4165.0,Political violence,326.0,11.4661,2.7958
2024-05-11,Western Africa,Benin,Alibori,Battles,Armed clash,1,8,5927.0,Political violence,326.0,11.4661,2.7958
2024-05-18,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,5290.0,Political violence,326.0,11.4661,2.7958
2024-07-20,Western Africa,Benin,Alibori,Battles,Armed clash,3,26,9919.0,Political violence,326.0,11.4661,2.7958
2024-08-10,Western Africa,Benin,Alibori,Battles,Armed clash,1,7,3122.0,Political violence,326.0,11.4661,2.7958
2024-09-14,Western Africa,Benin,Alibori,Battles,Armed clash,2,4,7636.0,Political violence,326.0,11.4661,2.7958
2024-09-21,Western Africa,Benin,Alibori,Battles,Armed clash,1,2,5927.0,Political violence,326.0,11.4661,2.7958
2024-10-05,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,1512.0,Political violence,326.0,11.4661,2.7958
2024-10-12,Western Africa,Benin,Alibori,Battles,Armed clash,1,5,31.0,Political violence,326.0,11.4661,2.7958
2024-11-16,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,3122.0,Political violence,326.0,11.4661,2.7958
2024-11-30,Western Africa,Benin,Alibori,Battles,Armed clash,1,3,5601.0,Political violence,326.0,11.4661,2.7958
2024-12-14,Western Africa,Benin,Alibori,Battles,Armed clash,2,7,4555.0,Political violence,326.0,11.4661,2.7958
2024-12-21,Western Africa,Benin,Alibori,Battles,Armed clash,2,3,45889.0,Political violence,326.0,11.4661,2.7958
2024-12-28,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,6063.0,Political violence,326.0,11.4661,2.7958
2025-01-04,Western Africa,Benin,Alibori,Battles,Armed clash,1,70,266.0,Political violence,326.0,11.4661,2.7958
2025-01-11,Western Africa,Benin,Alibori,Battles,Armed clash,2,3,50032.0,Political violence,326.0,11.4661,2.7958
2025-02-08,Western Africa,Benin,Alibori,Battles,Armed clash,1,0,2360.0,Political violence,326.0,11.4661,2.7958
2025-02-15,Western Africa,Benin,Alibori,Battles,Armed clash,5,39,72791.0,Political violence,326.0,11.4661,2.7958
2025-02-22,Western Africa,Benin,Alibori,Battles,Armed clash,1,10,5657.0,Political violence,326.0,11.4661,2.7958
2025-03-08,Western Africa,Benin,Alibori,Battles,Armed clash,1,2,6363.0,Political violence,326.0,11.4661,2.7958
2025-03-29,Western Africa,Benin,Alibori,Battles,Armed clash,1,3,41184.0,Political violence,326.0,11.4661,2.7958
2025-04-05,Western Africa,Benin,Alibori,Battles,Armed clash,2,2,65114.0,Political violence,326.0,11.4661,2.7958
2025-04-12,Western Africa,Benin,Alibori,Battles,Armed clash,3,87,349.0,Political violence,326.0,11.4661,2.7958
2025-05-10,Western Africa,Benin,Alibori,Battles,Armed clash,1,3,6363.0,Political violence,326.0,11.4661,2.7958
2025-05-17,Western Africa,Benin,Alibori,Battles,Armed clash,2,3,6833.0,Political violence,326.0,11.4661,2.7958
2025-05-24,Western Africa,Benin,Alibori,Battles,Armed clash,1,10,6363.0,Political violence,326.0,11.4661,2.7958
2025-05-31,Western Africa,Benin,Alibori,Battles,Armed clash,2,10,5357.0,Political violence,326.0,11.4661,2.7958
2025-06-14,Western Africa,Benin,Alibori,Battles,Armed clash,2,3,13729.0,Political violence,326.0,11.4661,2.7958
2025-06-21,Western Africa,Benin,Alibori,Battles,Armed clash,2,6,10908.0,Political violence,326.0,11.4661,2.7958
2025-06-28,Western Africa,Benin,Alibori,Battles,Armed clash,1,3,266.0,Political violence,326.0,11.4661,2.7958
2025-08-16,Western Africa,Benin,Alibori,Battles,Armed clash,1,1,55556.0,Political violence,326.0,11.4661,2.7958
2025-10-04,Western Africa,Benin,Alibori,Battles,Armed clash,1,6,14964.0,Political violence,326.0,11.4661,2.7958
