GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1295504124,20260322,202603,2026,2026.2247,BEN,COTONOU,BEN,,,,,,,,,,,,,,,,,,1,051,051,05,1,3.4,5,1,5,7.90697674418605,4,"Godomey, Atlantique, Benin",BN,BN09,5876,6.38948,2.34581,-1333714,0,,,,,,,,4,"Godomey, Atlantique, Benin",BN,BN09,5876,6.38948,2.34581,-1333714,20260322074500,https://english.news.cn/africa/20260322/476f314bb92249e49bd4b0b7cfee8340/c.html
1295504126,20260322,202603,2026,2026.2247,BEN,BENIN,BEN,,,,,,,,,,,,,,,,,,1,141,141,14,3,-6.5,10,1,10,7.90697674418605,4,"Godomey, Atlantique, Benin",BN,BN09,5876,6.38948,2.34581,-1333714,0,,,,,,,,4,"Godomey, Atlantique, Benin",BN,BN09,5876,6.38948,2.34581,-1333714,20260322074500,https://english.news.cn/africa/20260322/476f314bb92249e49bd4b0b7cfee8340/c.html
1295514475,20260322,202603,2026,2026.2247,BEN,BENIN,BEN,,,,,,,,,,,,,,,,,,0,051,051,05,1,3.4,10,1,10,0.30737704918033,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260322094500,https://fr.allafrica.com/stories/202603220031.html
1295487488,20260322,202603,2026,2026.2247,HLH,HOSPITAL,,,,,,HLH,,,,,,,,,,,,,1,010,010,01,1,0.0,10,1,10,-0.68728522336769,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260322021500,https://fr.allafrica.com/stories/202603220011.html
1295486907,20260322,202603,2026,2026.2247,BEN,BENINESE,BEN,,,,,,,,,,,,,,,,,,1,010,010,01,1,0.0,2,1,2,-3.75510204081633,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260322023000,https://allafrica.com/stories/202603220016.html
1295491022,20260322,202603,2026,2026.2247,COP,POLICE,,,,,,COP,,,,,,,,,,,,,0,191,191,19,4,-9.5,1,1,1,-3.40264650283554,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260322034500,https://www.thecable.ng/slow-down-dangerous-curves-ahead/
1295491367,20260322,202603,2026,2026.2247,NGA,NIGERIA,NGA,,,,,,,,,,,,,,,,,,0,190,190,19,4,-10.0,1,1,1,-3.40264650283554,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260322034500,https://www.thecable.ng/slow-down-dangerous-curves-ahead/
1295550356,20260322,202603,2026,2026.2247,BEN,BENIN,BEN,,,,,,,,,,,,,,,,,,1,128,128,12,3,-5.0,4,1,4,4.17457305502846,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260322174500,https://www.premiumtimesng.com/entertainment/nollywood/865937-benin-queen-fires-back-over-palace-expulsion-after-pellers-visit.html
1295550359,20260322,202603,2026,2026.2247,BENGOV,BENIN,BEN,,,,,GOV,,,,,,,,,,,,,0,036,036,03,1,4.0,6,1,6,4.17457305502846,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260322174500,https://www.premiumtimesng.com/entertainment/nollywood/865937-benin-queen-fires-back-over-palace-expulsion-after-pellers-visit.html
1295550360,20260322,202603,2026,2026.2247,BENGOV,BENIN,BEN,,,,,GOV,,,,,,,,,,,,,0,051,051,05,1,3.4,6,1,6,4.17457305502846,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260322174500,https://www.premiumtimesng.com/entertainment/nollywood/865937-benin-queen-fires-back-over-palace-expulsion-after-pellers-visit.html
1295550496,20260322,202603,2026,2026.2247,ELI,ACTOR,,,,,,ELI,,,,,,,,,,,,,0,036,036,03,1,4.0,3,1,3,-1.45586897179253,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260322174500,https://www.premiumtimesng.com/entertainment/naija-fashion/865945-how-princess-lured-me-with-lagos-govt-deal-set-me-up-for-rape-baba-ijesha-alleges.html
1295550497,20260322,202603,2026,2026.2247,ELI,ACTOR,,,,,,ELI,,,,,,,,,,,,,1,173,173,17,4,-5.0,3,1,3,-1.45586897179253,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260322174500,https://www.premiumtimesng.com/entertainment/naija-fashion/865945-how-princess-lured-me-with-lagos-govt-deal-set-me-up-for-rape-baba-ijesha-alleges.html
1295550296,20260322,202603,2026,2026.2247,,,,,,,,,,,BEN,BENIN,BEN,,,,,,,,0,020,020,02,1,3.0,5,1,5,4.17457305502846,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260322174500,https://www.premiumtimesng.com/entertainment/nollywood/865937-benin-queen-fires-back-over-palace-expulsion-after-pellers-visit.html
1295550297,20260322,202603,2026,2026.2247,,,,,,,,,,,BENGOV,BENIN,BEN,,,,,GOV,,,0,036,036,03,1,4.0,6,1,6,4.17457305502846,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260322174500,https://www.premiumtimesng.com/entertainment/nollywood/865937-benin-queen-fires-back-over-palace-expulsion-after-pellers-visit.html
1295535019,20260322,202603,2026,2026.2247,GOV,ADMINISTRATION,,,,,,GOV,,,CVL,CITIZEN,,,,,,CVL,,,1,020,020,02,1,3.0,10,1,10,1.05263157894737,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260322141500,https://burkina24.com/2026/03/22/benin-romuald-wadagni-promet-une-revolution-administrative-avec-la-piece-unique/
1295518579,20260322,202603,2026,2026.2247,BENEDU,BENIN,BEN,,,,,EDU,,,BEN,BENIN,BEN,,,,,,,,1,051,051,05,1,3.4,4,1,4,7.49354005167958,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260322104500,https://www.gouv.bj/article/3471/cooperation-sino-beninoise-etudiants-beninois-celebres-leur-excellence-academique/
1295490995,20260322,202603,2026,2026.2247,BENGOV,BENIN,BEN,,,,,GOV,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,042,042,04,1,1.9,2,1,2,-3.40264650283554,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260322034500,https://www.thecable.ng/slow-down-dangerous-curves-ahead/
1295491089,20260322,202603,2026,2026.2247,GBR,UNITED KINGDOM,GBR,,,,,,,,BENGOV,BENIN,BEN,,,,,GOV,,,0,043,043,04,1,2.8,2,1,2,-3.40264650283554,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260322034500,https://www.thecable.ng/slow-down-dangerous-curves-ahead/
1295545937,20260322,202603,2026,2026.2247,BEN,BENIN,BEN,,,,,,,,MIL,MILITARY,,,,,,MIL,,,1,051,051,05,1,3.4,10,1,10,0.6578947368421,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260322163000,https://fr.allafrica.com/stories/202603220035.html
1295545967,20260322,202603,2026,2026.2247,CIV,ABIDJAN,CIV,,,,,,,,BEN,COTONOU,BEN,,,,,,,,1,050,050,05,1,3.5,10,1,10,0.6578947368421,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260322163000,https://fr.allafrica.com/stories/202603220035.html
1295550357,20260322,202603,2026,2026.2247,BEN,BENIN,BEN,,,,,,,,BENGOV,BENIN,BEN,,,,,GOV,,,0,036,036,03,1,4.0,4,1,4,4.17457305502846,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260322174500,https://www.premiumtimesng.com/entertainment/nollywood/865937-benin-queen-fires-back-over-palace-expulsion-after-pellers-visit.html
1295550358,20260322,202603,2026,2026.2247,BEN,BENIN,BEN,,,,,,,,BENGOV,BENIN,BEN,,,,,GOV,,,0,051,051,05,1,3.4,4,1,4,4.17457305502846,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260322174500,https://www.premiumtimesng.com/entertainment/nollywood/865937-benin-queen-fires-back-over-palace-expulsion-after-pellers-visit.html
